Kabupaten/Kota;Indeks Pembangunan Manusia;Rata-Rata Lama Sekolah;;y-ybar;x-xbar;(x-xbar)^2;(y-ybar)*(x-xbar);;b1
Kepulauan Seribu;76,69;9,26;;0,943865546;0,427647059;0,182882007;0,403641325;;2,874976743
Kota Jakarta Selatan;87,57;11,95;;11,82386555;3,117647059;9,719723183;36,86263964;;
Kota Jakarta Timur;84,76;11,99;;9,013865546;3,157647059;9,970734948;28,46260603;;bo
Kota Jakarta Pusat;83,75;11,61;;8,003865546;2,777647059;7,715323183;22,23191359;;50,35332516
Kota Jakarta Barat;84,4;11,24;;8,653865546;2,407647059;5,79676436;20,83545393;;
Kota Jakarta Utara;82,13;10,85;;6,383865546;2,017647059;4,070899654;12,88038754;;
Bogor;73,63;8,89;;-2,116134454;0,057647059;0,003323183;-0,121988927;;
Sukabumi;70,18;7,75;;-5,566134454;-1,082352941;1,171487889;6,024521997;;
Cianjur;68,89;7,91;;-6,856134454;-0,922352941;0,850734948;6,323775779;;
Bandung;74,59;9,45;;-1,156134454;0,617647059;0,381487889;-0,714083045;;
Garut;69,91;8,31;;-5,836134454;-0,522352941;0,272852595;3,048521997;;
Tasikmalaya;69,98;8,32;;-5,766134454;-0,512352941;0,262505536;2,954295947;;
Ciamis;73,64;8,33;;-2,106134454;-0,502352941;0,252358478;1,058022837;;
Kuningan;71,56;8,18;;-4,186134454;-0,652352941;0,42556436;2,730837123;;
Cirebon;72,3;8,06;;-3,446134454;-0,772352941;0,596529066;2,661632081;;
Majalengka;71,37;7,99;;-4,376134454;-0,842352941;0,709558478;3,686249728;;
Sumedang;74,57;8,86;;-1,176134454;0,027647059;0,00076436;-0,032516658;;
Indramayu;70,72;7,45;;-5,026134454;-1,382352941;1,910899654;6,947891745;;
Subang;72,05;7,88;;-3,696134454;-0,952352941;0,906976125;3,520024518;;
Purwakarta;73,99;8,4;;-1,756134454;-0,432352941;0,186929066;0,759269896;;
Karawang;73,82;8,54;;-1,926134454;-0,292352941;0,085470242;0,563111073;;
Bekasi;76,8;10,19;;1,053865546;1,357647059;1,843205536;1,430777459;;
Bandung Barat;70,77;8,57;;-4,976134454;-0,262352941;0,068829066;1,30550351;;
Pangandaran;71,03;8,47;;-4,716134454;-0,362352941;0,131299654;1,70890519;;
Kota Bogor;79,03;10,79;;3,283865546;1,957647059;3,832382007;6,428649728;;
Kota Sukabumi;77,69;10,44;;1,943865546;1,607647059;2,584529066;3,125049728;;
Kota Bandung;83,75;11,05;;8,003865546;2,217647059;4,917958478;17,74974889;;
Kota Cirebon;78,09;10,66;;2,343865546;1,827647059;3,340293772;4,283758972;;
Kota Bekasi;83,55;11,9;;7,803865546;3,067647059;9,410458478;23,93950519;;
Kota Depok;83,05;11,58;;7,303865546;2,747647059;7,54956436;20,06844469;;
Kota Cimahi;80,3;11,47;;4,553865546;2,637647059;6,957182007;12,01149006;;
Kota Tasikmalaya;76,03;9,86;;0,283865546;1,027647059;1,056058478;0,291713594;;
Kota Banjar;75,01;9,15;;-0,736134454;0,317647059;0,100899654;-0,233830944;;
Cilacap;72,55;7,4;;-3,196134454;-1,432352941;2,051634948;4,577992585;;
Banyumas;74,52;7,91;;-1,226134454;-0,922352941;0,850734948;1,13092872;;
Purbalingga;70,97;7,36;;-4,776134454;-1,472352941;2,167823183;7,03215561;;
Banjarnegara;69,62;6,87;;-6,126134454;-1,962352941;3,850829066;12,02163796;;
Kebumen;72,48;7,87;;-3,266134454;-0,962352941;0,926123183;3,143174098;;
Purworejo;75,16;8,65;;-0,586134454;-0,182352941;0,033252595;0,106883342;;
Wonosobo;70,63;6,9;;-5,116134454;-1,932352941;3,733987889;9,886177459;;
Magelang;72,1;7,83;;-3,646134454;-1,002352941;1,004711419;3,654713594;;
Boyolali;75,96;8,17;;0,213865546;-0,662352941;0,438711419;-0,141654474;;
Klaten;78,16;9,29;;2,413865546;0,457647059;0,20944083;1,104698468;;
Sukoharjo;79,3;10,01;;3,553865546;1,177647059;1,386852595;4,185199308;;
Wonogiri;72,54;7,68;;-3,206134454;-1,152352941;1,327917301;3,694598468;;
Karanganyar;78,11;9,26;;2,363865546;0,427647059;0,182882007;1,010900148;;
Sragen;75,53;7,88;;-0,216134454;-0,952352941;0,906976125;0,205836283;;
Grobogan;72,02;7,29;;-3,726134454;-1,542352941;2,378852595;5,747014434;;
Blora;71,42;7,26;;-4,326134454;-1,572352941;2,472293772;6,802210232;;
Rembang;72,53;7,73;;-3,216134454;-1,102352941;1,215182007;3,545315274;;
Pati;74,1;7,82;;-1,646134454;-1,012352941;1,024858478;1,666469056;;
Kudus;77,21;9,35;;1,463865546;0,517647059;0,267958478;0,757765695;;
Jepara;74,32;8,27;;-1,426134454;-0,562352941;0,31624083;0,801990905;;
Demak;74,57;8,28;;-1,176134454;-0,552352941;0,305093772;0,649641325;;
Semarang;75,67;8,16;;-0,076134454;-0,672352941;0,452058478;0,051189224;;
Temanggung;71,86;7,53;;-3,886134454;-1,302352941;1,696123183;5,061118636;;
Kendal;74,34;7,74;;-1,406134454;-1,092352941;1,193234948;1,535995106;;
Batang;70,73;7,08;;-5,016134454;-1,752352941;3,07074083;8,790037963;;
Pekalongan;71,95;7,48;;-3,796134454;-1,352352941;1,828858478;5,133713594;;
Pemalang;68,65;6,56;;-7,096134454;-2,272352941;5,163587889;16,124922;;
Tegal;71,7;7,36;;-4,046134454;-1,472352941;2,167823183;5,957337963;;
Brebes;70,18;6,41;;-5,566134454;-2,422352941;5,867793772;13,48314217;;
Kota Magelang;82,15;11,43;;6,403865546;2,597647059;6,747770242;16,6349825;;
Kota Surakarta;84,41;11,25;;8,663865546;2,417647059;5,845017301;20,94616906;;
Kota Salatiga;85,72;11,48;;9,973865546;2,647647059;7,010034948;26,40727578;;
Kota Semarang;85,24;11,05;;9,493865546;2,217647059;4,917958478;21,05404301;;
Kota Pekalongan;77,21;9,34;;1,463865546;0,507647059;0,257705536;0,743127039;;
Kota Tegal;77,5;9,28;;1,753865546;0,447647059;0,200387889;0,785112753;;
Kulon Progo;76,18;9,2;;0,433865546;0,367647059;0,13516436;0,159509392;;
Bantul;82,05;9,81;;6,303865546;0,977647059;0,955793772;6,16295561;;
Gunung Kidul;72,14;7,35;;-3,606134454;-1,482352941;2,197370242;5,345564014;;
Sleman;85,71;11,33;;9,963865546;2,497647059;6,23824083;24,88621948;;
Kota Yogyakarta;89,1;12,12;;13,35386555;3,287647059;10,80862318;43,90279679;;
Pacitan;71,49;7,9;;-4,256134454;-0,932352941;0,869282007;3,968219476;;
Ponorogo;73,7;7,8;;-2,046134454;-1,032352941;1,065752595;2,112332921;;
Trenggalek;72,47;7,92;;-3,276134454;-0,912352941;0,832387889;2,988990905;;
Tulungagung;75,13;8,68;;-0,616134454;-0,152352941;0,023211419;0,093869896;;
Blitar;73,44;7,87;;-2,306134454;-0,962352941;0,926123183;2,219315274;;
Kediri;75,18;8,26;;-0,566134454;-0,572352941;0,327587889;0,32402872;;
Malang;73,53;7,8;;-2,216134454;-1,032352941;1,065752595;2,287832921;;
Lumajang;70,31;7,27;;-5,436134454;-1,562352941;2,440946713;8,493160652;;
Jember;70,93;6,54;;-4,816134454;-2,292352941;5,254882007;11,04027998;;
Banyuwangi;74,3;7,78;;-1,446134454;-1,052352941;1,107446713;1,521843846;;
Bondowoso;71,22;6,53;;-4,526134454;-2,302352941;5,300829066;10,42075897;;
Situbondo;71,22;6,93;;-4,526134454;-1,902352941;3,618946713;8,61030519;;
Probolinggo;70,85;6,31;;-4,896134454;-2,522352941;6,36226436;12,34977914;;
Pasuruan;72,36;7,46;;-3,386134454;-1,372352941;1,883352595;4,646971577;;
Sidoarjo;82,67;10,91;;6,923865546;2,077647059;4,316617301;14,38534889;;
Mojokerto;76,69;9,13;;0,943865546;0,297647059;0,088593772;0,280938804;;
Jombang;75,67;8,78;;-0,076134454;-0,052352941;0,00274083;0,003985863;;
Nganjuk;75,24;8,25;;-0,506134454;-0,582352941;0,339134948;0,294748888;;
Madiun;74,81;8,2;;-0,936134454;-0,632352941;0,399870242;0,591967375;;
Magetan;76,77;8,69;;1,023865546;-0,142352941;0,02026436;-0,145750272;;
Ngawi;73,91;7,84;;-1,836134454;-0,992352941;0,98476436;1,822093426;;
Bojonegoro;72,75;7,59;;-2,996134454;-1,242352941;1,54344083;3,722256451;;
Tuban;72,31;7,53;;-3,436134454;-1,302352941;1,696123183;4,475059812;;
Lamongan;75,9;8,48;;0,153865546;-0,352352941;0,124152595;-0,054214978;;
Gresik;78,93;10,03;;3,183865546;1,197647059;1,434358478;3,813147207;;
Bangkalan;67,33;6,01;;-8,416134454;-2,822352941;7,965676125;23,75330183;;
Sampang;66,72;5,08;;-9,026134454;-3,752352941;14,0801526;33,86924217;;
Pamekasan;70,85;7,17;;-4,896134454;-1,662352941;2,763417301;8,13910351;;
Sumenep;69,78;6,1;;-5,966134454;-2,732352941;7,465752595;16,30158502;;
Kota Kediri;81,88;10,92;;6,133865546;2,087647059;4,358270242;12,80534637;;
Kota Blitar;81,44;10,82;;5,693865546;1,987647059;3,95074083;11,31739511;;
Kota Malang;84,68;11,14;;8,933865546;2,307647059;5,325234948;20,61620855;;
Kota Probolinggo;77,79;9,72;;2,043865546;0,887647059;0,787917301;1,814231241;;
Kota Pasuruan;78,9;9,94;;3,153865546;1,107647059;1,226882007;3,493369896;;
Kota Mojokerto;81,76;11,38;;6,013865546;2,547647059;6,490505536;15,32120687;;
Kota Madiun;84,51;12,11;;8,763865546;3,277647059;10,74297024;28,72485813;;
Kota Surabaya;84,69;10,89;;8,943865546;2,057647059;4,233911419;18,40331864;;
Kota Batu;79,69;9,87;;3,943865546;1,037647059;1,076711419;4,092340484;;
Pandeglang;70,88;7,16;;-4,866134454;-1,672352941;2,79676436;8,137894266;;
Lebak;68,33;6,61;;-7,416134454;-2,222352941;4,938852595;16,48126822;;
Tangerang;76,19;9,06;;0,443865546;0,227647059;0,051823183;0,101044686;;
Serang;73,28;7,88;;-2,466134454;-0,952352941;0,906976125;2,3486304;;
Kota Tangerang;81,53;11,14;;5,783865546;2,307647059;5,325234948;13,34712032;;
Kota Cilegon;78,83;10,39;;3,083865546;1,557647059;2,42626436;4,803574098;;
Kota Serang;76,9;8,93;;1,153865546;0,097647059;0,009534948;0,112671577;;
Kota Tangerang Selatan;84,16;11,86;;8,413865546;3,027647059;9,166646713;25,47421527;;
;ybar;xbar;;;;sum;sum;;
;75,74613445;8,832352941;;;;319,1921412;917,6699824;;
